"","Player","Pos","Age","Tm","G","MP","PER","TS%","3PAr","FTr","ORB%","DRB%","TRB%","AST%","STL%","BLK%","TOV%","USG%","OWS","DWS","WS","WS/48","OBPM","DBPM","BPM","VORP","Yr"
"23","Matt Barnes","PF-SF","25","TOT","56","631","10.7","0.545","0.107","0.336","8.9","13.7","11.3","7","1.6","0.8","15.7","13.8","0.5","0.4","1","0.075","-3","-0.1","-3.1","-0.2",2006
"24","Andre Barrett","PG","23","TOT","19","282","11.3","0.398","0.135","0.115","3.7","7.1","5.4","29.5","1.9","0","12.1","20.3","-0.1","0","-0.1","-0.019","-1.7","-2","-3.6","-0.1",2006
"25","Earl Barron","C","24","MIA","8","45","-2.8","0.366","0","0.25","5.5","20.1","13.1","0","0","0","22","23.4","-0.2","0","-0.2","-0.167","-13.4","-4.3","-17.7","-0.2",2006
"26","Brent Barry","SG","34","SAS","74","1259","14.8","0.581","0.586","0.171","2.8","11.9","7.5","15.5","1.7","1.5","12.3","16","2.1","2.2","4.3","0.162","1.4","2","3.4","1.7",2006
"27","Jon Barry","SG","36","HOU","20","342","8.5","0.553","0.492","0.446","0.3","10.1","5.3","12.5","2.1","0.2","22.1","13.9","0","0.4","0.4","0.055","-3","1.5","-1.5","0",2006
"28","Eddie Basden","SF","22","CHI","19","141","10.3","0.471","0.189","0.27","5.7","17","11.4","8.8","3.3","1.1","17.9","16.1","-0.1","0.3","0.2","0.065","-3.9","3.2","-0.6","0",2006
"29","Brandon Bass","PF","20","NOK","29","268","9.1","0.434","0","0.271","7.8","22.8","15.1","1.8","0.6","2.2","12.3","15.6","-0.2","0.3","0.1","0.013","-3.6","-1.4","-5","-0.2",2006
"30","Esteban Batista","PF","22","ATL","57","495","7.1","0.489","0.013","0.663","14.4","20.7","17.5","2.1","1.6","1.7","26.9","13","-0.2","0.3","0.1","0.011","-6.2","-1.7","-7.9","-0.7",2006
"31","Tony Battie","C","29","ORL","82","2215","12.2","0.531","0.011","0.243","8.3","16.9","12.7","3.7","1.1","2.5","12.6","14.9","1.7","2.2","3.8","0.083","-1.7","0","-1.8","0.1",2006
"32","Shane Battier","SF","27","MEM","81","2839","14.7","0.574","0.266","0.335","7.1","11.2","9.2","8.2","1.8","3.2","11.2","13.7","4.6","4.5","9.1","0.153","0.8","1.8","2.6","3.3",2006
"33","Lonny Baxter","C-PF","27","TOT","41","400","11.9","0.494","0","0.337","13.2","21.3","17.1","1.7","1.5","1.6","14.3","16.2","0.1","0.6","0.7","0.088","-3.7","-0.8","-4.5","-0.2",2006
"34","Charlie Bell","SG","26","MIL","59","1283","14.7","0.55","0.41","0.217","1.9","9.3","5.6","16.6","2.4","0.3","8.4","17.5","2.2","1.1","3.3","0.123","0.1","0.8","1","0.9",2006
"35","Raja Bell","SG","29","PHO","79","2959","12.9","0.584","0.48","0.157","1.7","7.7","4.7","9.8","1.3","0.5","8.2","16.4","4.7","2.1","6.8","0.11","0.2","0.1","0.2","1.6",2006
"36","Jonathan Bender","SF","25","IND","2","21","26.4","0.85","0","0.4","0","21.3","11","18.5","0","3.5","0","13","0.1","0","0.2","0.359","5.9","3.9","9.8","0.1",2006
"37","Mike Bibby","PG","27","SAC","82","3167","17.9","0.554","0.36","0.292","1.1","7.7","4.4","25.2","1.4","0.2","11.3","25.4","6","2.4","8.4","0.127","2.7","-1.2","1.5","2.8",2006
"38","Andris Biedrinš","C","19","GSW","68","1000","13.6","0.595","0","0.389","13.5","18.2","15.8","3.9","1.2","3.5","13.6","11.2","1.6","1.3","2.9","0.137","-2.3","0.6","-1.6","0.1",2006
"39","Chauncey Billups","PG","29","DET","81","2925","23.4","0.602","0.42","0.514","1.6","8.7","5.1","39.3","1.3","0.2","12","22.9","12.7","2.8","15.5","0.254","6.2","0.1","6.2","6.1",2006
"40","Steve Blake","PG","25","POR","68","1781","14.5","0.549","0.391","0.194","1.7","8.2","4.9","29","1.3","0.2","14","15.8","3","-0.2","2.8","0.076","1","-2","-1","0.4",2006
"41","Andray Blatche","PF","19","WAS","29","175","10.1","0.45","0.194","0.179","7.7","17.8","12.6","9.5","1.5","3.1","14.2","21.5","-0.1","0.2","0.1","0.026","-4.9","-0.1","-5","-0.1",2006
"42","Mark Blount","C","30","TOT","81","2240","12.1","0.549","0","0.302","5.3","14.2","9.8","7.8","1","2.6","18.9","21.4","-0.5","2.3","1.7","0.037","-2.9","-0.6","-3.4","-0.8",2006
"43","Keith Bogans","SG-SF","25","TOT","72","1912","10.7","0.497","0.368","0.342","3.3","12.4","7.8","11.2","2","0.4","12.6","17.2","0.3","2","2.3","0.058","-1.8","0.5","-1.4","0.3",2006
"44","Andrew Bogut","PF","21","MIL","82","2348","15.2","0.555","0.005","0.32","9.4","19.8","14.5","13.4","1.1","2.3","15.3","15.9","3.1","2.4","5.5","0.113","-0.3","0.7","0.4","1.4",2006
"45","Matt Bonner","PF","25","TOR","78","1710","13.7","0.582","0.52","0.163","5.9","14.8","10.2","5.2","1.5","1.4","6","14.4","3.5","0.5","4.1","0.114","1.3","-0.6","0.7","1.2",2006
"46","Calvin Booth","C","29","WAS","33","250","8.9","0.451","0.043","0.191","8.6","15.8","12.1","7.2","1.9","2.8","13.6","10.5","0.1","0.3","0.4","0.07","-3.7","1.3","-2.3","0",2006
"47","Carlos Boozer","PF","24","UTA","33","1025","21.4","0.585","0","0.343","8.6","25.3","16.9","18","1.6","0.6","13.1","23.9","2.2","1.3","3.5","0.162","2.4","-0.3","2.1","1.1",2006
"48","Chris Bosh","C","21","TOR","70","2751","23.2","0.585","0.012","0.534","8.7","20.6","14.4","11.8","1","2.3","10.5","25.2","8.7","1.1","9.8","0.17","3.9","-1","2.9","3.4",2006
"49","Bruce Bowen","SF","34","SAS","82","2755","9.1","0.54","0.457","0.157","1.5","11.9","6.9","6.8","1.6","0.8","10.5","11.1","1.7","4.5","6.2","0.108","-1.8","2","0.3","1.6",2006
"50","Ryan Bowen","SF","30","HOU","68","652","4","0.338","0.177","0.113","5.7","10.1","7.9","5.9","1.8","0.8","9.1","10.5","-0.6","0.8","0.2","0.012","-5.8","0.7","-5.1","-0.5",2006
"51","Earl Boykins","PG","29","DEN","60","1542","15.7","0.513","0.271","0.263","1.6","4.5","3.1","25","1.6","0.2","10.1","23.8","2","0.9","2.9","0.09","1.3","-1.3","0","0.7",2006
"52","Michael Bradley","PF","26","PHI","46","367","8.4","0.417","0.063","0.038","12.7","21.4","17.1","6.9","0.7","1.4","19.1","12.3","-0.2","0.3","0.1","0.019","-3.2","-1.4","-4.6","-0.2",2006
"53","Elton Brand","PF","26","LAC","79","3099","26.5","0.58","0.002","0.396","9.3","19.9","14.8","13.1","1.4","4.9","9.3","27.7","9.3","5.5","14.8","0.229","5.1","1.6","6.7","6.8",2006
"54","Primož Brezec","C","26","CHA","79","2165","15.3","0.552","0.003","0.283","9.1","14.8","11.8","3.7","0.5","1.1","8.7","20","3.4","1.2","4.6","0.102","-0.4","-2","-2.4","-0.2",2006
"55","Devin Brown","SG","27","UTA","81","1711","10.3","0.493","0.224","0.402","5.1","9.6","7.3","10.7","1.4","0.7","13.8","19.5","0.4","1.1","1.4","0.041","-2.1","-1.3","-3.3","-0.6",2006
"56","Kwame Brown","C","23","LAL","72","1978","11.7","0.545","0.003","0.606","10.8","17.3","14.1","5.6","0.7","1.8","16.9","13.6","1.7","1.9","3.6","0.088","-1.7","-0.8","-2.5","-0.3",2006
"57","P.J. Brown","C","36","NOK","75","2380","12.7","0.515","0","0.288","8.9","18.8","13.7","6.3","1","1.7","12","14.7","2.1","2.3","4.4","0.088","-1.3","-0.2","-1.5","0.3",2006
"58","Rick Brunson","PG","33","TOT","27","246","6.3","0.455","0.241","0.222","0.5","9.9","5.3","23.4","1.8","0.3","27.1","15.6","-0.4","0.2","-0.1","-0.025","-4.9","-0.2","-5.2","-0.2",2006
"59","Kobe Bryant*","SG","27","LAL","80","3277","28","0.559","0.238","0.377","2.6","12.7","7.6","24.1","2.4","0.7","9","38.7","11.6","3.7","15.3","0.224","7.4","0.2","7.6","8",2006
"60","Greg Buckner","SG","29","DEN","73","1758","11.4","0.556","0.583","0.132","2.1","11.7","6.9","10.8","2.5","0.9","10.5","12.6","1.7","2","3.8","0.103","-1.2","1.7","0.5","1.1",2006
"61","Pat Burke","C","32","PHO","42","346","9.9","0.517","0.055","0.165","6.9","16.3","11.7","6.8","0.9","2.6","19.5","21.9","-0.3","0.4","0.1","0.009","-6.1","-0.1","-6.2","-0.4",2006
"62","Antonio Burks","PG","25","MEM","57","570","5.1","0.367","0.042","0.16","0.9","7","3.9","22.1","2","0","18.9","16.2","-1.1","0.7","-0.4","-0.033","-6.4","-0.4","-6.8","-0.7",2006
"63","Kevin Burleson","PG","26","CHA","39","340","5.1","0.367","0.614","0.193","1.3","8","4.4","20.8","3.9","0.5","20.8","15.7","-0.6","0.4","-0.2","-0.032","-7.8","1.6","-6.2","-0.4",2006
"64","Caron Butler","SF","25","WAS","75","2708","17","0.535","0.11","0.306","4.8","15.6","10","12.1","2.4","0.5","12.4","23.2","3.5","2.8","6.3","0.112","0.4","0.1","0.6","1.7",2006
"65","Jackie Butler","C","20","NYK","55","740","14.8","0.587","0","0.358","10.9","19.3","15","6.1","1.2","3.4","19.9","19","0.7","0.6","1.2","0.078","-2","-0.8","-2.8","-0.2",2006
"66","Rasual Butler","SF","26","NOK","79","1875","10.8","0.501","0.382","0.18","3.2","11.8","7.4","3.7","0.9","2","8.7","18.6","0.4","1.3","1.7","0.045","-0.9","-1.1","-2","0",2006
"67","Andrew Bynum","C","18","LAL","46","338","7.4","0.394","0","0.329","11.9","16","13.9","4.1","0.6","5","15.3","15","-0.4","0.4","0.1","0.007","-6.1","-0.8","-6.9","-0.4",2006
"68","Will Bynum","PG","23","GSW","15","162","8.7","0.457","0.173","0.308","2","6.3","4.1","19.2","2.2","0","19.2","20.1","-0.2","0.1","-0.1","-0.021","-4.5","-0.5","-5","-0.1",2006
"69","Žarko Cabarkapa","PF","24","GSW","61","505","9.9","0.472","0.115","0.483","8","16.7","12.3","6.5","1.3","1","14.2","21.7","-0.2","0.5","0.3","0.031","-4.7","-0.6","-5.3","-0.4",2006
"70","José Calderón","SG","24","TOR","64","1487","11.4","0.495","0.138","0.295","2.4","9.5","5.8","29.1","1.5","0.2","22.3","14.1","0.9","0","0.9","0.029","-1","-1.8","-2.8","-0.3",2006
"71","Marcus Camby","C","31","DEN","56","1857","19.9","0.499","0.017","0.24","8.4","33.3","21","10.2","2.2","7.5","11.4","19.5","1","4.5","5.5","0.141","0.1","3.3","3.5","2.6",2006
"72","Brian Cardinal","PF","28","MEM","36","402","10","0.505","0.261","0.243","3.4","13.1","8.3","14.2","3.2","0","18","18.1","-0.1","0.7","0.6","0.074","-4.6","1.7","-2.9","-0.1",2006
"73","Matt Carroll","SG","25","CHA","78","1275","13.9","0.54","0.389","0.353","2.9","12","7.1","4.6","1.9","0.7","8","20.8","1.6","1","2.6","0.097","0","-0.6","-0.6","0.5",2006
"74","Anthony Carter","PG","30","MIN","45","589","10.6","0.465","0.109","0.401","1.9","10.5","6.3","26.9","2.2","1.2","19.9","16.2","-0.1","0.7","0.6","0.047","-3.5","1.2","-2.2","0",2006
"75","Vince Carter","SG","29","NJN","79","2906","21.6","0.536","0.242","0.396","5.4","13.4","9.3","24.4","1.7","1.5","10.7","32.3","4.9","4.4","9.3","0.153","4.5","0.5","5.1","5.2",2006
"76","Sam Cassell","PG","36","LAC","78","2653","18.5","0.534","0.171","0.301","1.8","10.4","6.3","32.5","1.5","0.3","12.2","25","4.8","2.8","7.6","0.137","2.1","-0.5","1.6","2.4",2006
"77","Kelvin Cato","C","31","TOT","27","333","9.3","0.493","0","0.417","7.6","18","12.9","1.9","1","2.8","15.3","16.7","0","0.4","0.3","0.045","-4.9","-0.3","-5.2","-0.3",2006
"78","Tyson Chandler","C","23","CHI","79","2121","12.2","0.567","0.004","0.682","14.4","24.2","19.3","5.6","1","3.8","25.1","10.4","1.5","3.9","5.4","0.123","-2.2","1.8","-0.4","0.9",2006
"79","Calbert Cheaney","SF","34","GSW","42","448","6","0.412","0.074","0.074","4.9","10.5","7.6","6.6","1.5","0.3","13.2","12.8","-0.3","0.3","0","0","-4.7","-0.1","-4.8","-0.3",2006
"80","Josh Childress","SF","22","ATL","74","2249","15.8","0.626","0.129","0.399","7","13.9","10.3","9.4","2","1.3","14.6","14","4.6","1.1","5.7","0.121","1.3","-0.1","1.2","1.8",2006
"81","Doug Christie","SG","35","DAL","7","185","6.8","0.416","0.038","0.462","1.3","7","4.2","10.9","2.7","0.4","16.1","9.4","-0.1","0.2","0.1","0.035","-2.7","1.6","-1","0",2006
"82","Speedy Claxton","PG","27","NOK","71","2019","16.1","0.497","0.086","0.435","2.2","9.3","5.7","29.8","2.9","0.2","14.9","23.8","1.1","2","3","0.072","-0.1","0.3","0.1","1.1",2006
"83","Mateen Cleaves","PG","28","SEA","27","230","9.1","0.448","0.225","0.338","1","6.4","3.7","27.4","0.7","0.7","14.7","18.6","0.1","-0.1","0","-0.005","-2","-3","-5","-0.2",2006
"84","Jarron Collins","C","27","UTA","79","1730","11","0.551","0","0.782","9.3","14.1","11.7","9.1","1.1","1.3","13.9","11.7","2.5","1.4","3.9","0.107","-2.2","0","-2.1","-0.1",2006
"85","Jason Collins","C","27","NJN","71","1895","5.5","0.425","0.046","0.328","5.7","15.6","10.6","5.7","1.3","1.7","16.9","9","-0.9","2.9","2","0.051","-5.3","1.5","-3.8","-0.9",2006
"86","Nick Collison","PF","25","SEA","66","1448","14","0.556","0.008","0.287","11.8","19","15.4","8.1","0.8","1.9","14.8","16.1","2.2","0.1","2.3","0.075","-1.1","-2.1","-3.2","-0.4",2006
"87","Brian Cook","PF","25","LAL","81","1535","15.6","0.578","0.164","0.198","6.8","14.2","10.5","8.3","1.3","1.6","9.9","18.3","3","1.5","4.5","0.142","0.2","-0.3","-0.1","0.7",2006
"88","Jamal Crawford","SG","25","NYK","79","2555","15.5","0.544","0.333","0.406","1.7","10.2","5.9","20.9","1.8","0.5","14.4","21.5","3.7","0.8","4.5","0.084","1.6","-1.1","0.5","1.6",2006
"89","Austin Croshere","PF","30","IND","50","1148","15.2","0.618","0.491","0.358","6.4","19.8","13.3","9.1","1","0.4","12.7","15.3","2.5","1.7","4.1","0.173","1.5","0.6","2.1","1.2",2006
"90","Eddy Curry","C","23","NYK","72","1865","17","0.604","0","0.814","9.4","18.9","14.1","1.9","0.8","2.5","18.1","24.1","2.3","1","3.3","0.084","-0.5","-1.6","-2.1","0",2006
"91","Samuel Dalembert","C","24","PHI","66","1761","14.2","0.568","0.003","0.358","10.6","25.4","18","2.2","1","6.9","20","13.8","0.9","2.6","3.6","0.097","-2.9","1.2","-1.8","0.1",2006
"92","Erick Dampier","C","30","DAL","82","1934","13.9","0.531","0","0.62","17.3","22.4","19.9","4","0.8","4.2","20.7","13.4","1.9","2.9","4.8","0.119","-1.5","-0.1","-1.7","0.2",2006
"93","Antonio Daniels","SG","30","WAS","80","2283","13.7","0.55","0.184","0.611","0.9","8","4.4","19.2","1.2","0.3","11.3","15.4","4.3","0.9","5.3","0.111","0.1","-0.8","-0.7","0.8",2006
"94","Marquis Daniels","SG","25","DAL","62","1766","14.9","0.535","0.037","0.357","5.6","9.6","7.6","16.2","2.1","0.6","14.4","18.3","2.4","1.7","4.2","0.114","0.1","0.4","0.5","1.1",2006
"95","Antonio Davis","PF-C","37","TOT","44","940","8.3","0.479","0.005","0.426","11.5","15.5","13.5","3.5","1.3","0.9","18.4","13.4","0","0.4","0.3","0.017","-3.2","-1","-4.3","-0.5",2006
"96","Baron Davis","PG","26","GSW","54","1971","18.3","0.489","0.376","0.336","2.5","11.1","6.7","42.6","2.3","0.5","13.9","25.9","2.4","2","4.4","0.106","2.8","-0.2","2.6","2.3",2006
"97","Dale Davis","C","36","DET","28","178","9.9","0.425","0.042","0.625","13.9","21.6","17.7","4.8","0","3.7","11.6","9.2","0.1","0.3","0.4","0.108","-3.3","-0.2","-3.5","-0.1",2006
"98","Josh Davis","PF","25","TOT","6","17","13.6","0.361","0.286","0.429","20.4","7.1","13.7","8.8","6","0","10.7","24.8","0","0","0","0.018","-2","0.2","-1.7","0",2006
"99","Ricky Davis","SG-SF","26","TOT","78","3207","15.6","0.521","0.186","0.265","2.5","10.5","6.6","22.2","1.5","0.4","12.8","24.3","2.5","2.5","5","0.075","0.6","-1","-0.4","1.3",2006
"100","Carlos Delfino","SG","23","DET","68","726","10.6","0.483","0.265","0.296","4.5","14.1","9.3","9.7","1.6","1.5","12.4","19.1","0","1","1","0.067","-3.3","0.4","-2.9","-0.2",2006
"101","Tony Delk","PG-SG","32","TOT","24","385","16.1","0.526","0.292","0.168","4.3","12.2","8.2","15.2","1.9","0.2","9.9","23.7","0.4","0.5","0.9","0.112","0.4","-0.5","-0.1","0.2",2006
"102","Luol Deng","SF","20","CHI","78","2604","15.8","0.517","0.082","0.289","5.6","17.1","11.4","9.7","1.4","1.5","8.9","20.4","2.7","3.8","6.5","0.12","0.8","0.9","1.6","2.4",2006
"103","Boris Diaw","PF","23","PHO","81","2874","17.3","0.564","0.035","0.279","6.3","15.1","10.8","24.9","1","2.1","16.5","17.9","5.9","3","8.9","0.149","1.4","1.4","2.8","3.5",2006
"104","Dan Dickau","PG","27","BOS","19","234","10.4","0.575","0.435","0.391","2.7","5.6","4.2","25.5","2.4","0.3","25","14.1","0.3","0.2","0.4","0.09","-2.6","0.2","-2.4","0",2006
"105","Travis Diener","PG","23","ORL","23","246","12.6","0.614","0.826","0.087","2.1","8.3","5.3","10.6","1.5","0","12.2","15.7","0.5","0.1","0.6","0.115","1.3","-0.4","0.9","0.2",2006
"106","Ike Diogu","PF","22","GSW","69","1031","15.8","0.596","0","0.503","10","14.9","12.4","4.9","0.7","2.2","16.1","21","1.7","1","2.6","0.123","-1.6","-0.6","-2.2","0",2006
"107","DeSagana Diop","C","24","DAL","81","1510","11.5","0.512","0.013","0.468","11.8","17.9","14.9","2.2","1.6","7.4","16.2","6.9","1.3","2.7","4.1","0.13","-2.3","2.8","0.5","1",2006
"108","Juan Dixon","SG","27","POR","76","1920","14.6","0.516","0.207","0.236","1.9","9.3","5.5","14.9","1.7","0.2","11.1","25.2","1.1","0.1","1.2","0.03","-0.2","-1.7","-1.9","0",2006
"109","Michael Doleac","C","28","MIA","31","371","9.9","0.484","0","0.341","7.6","18.9","13.5","3.2","1.4","1.4","12.2","14.3","0.1","0.5","0.6","0.079","-3.6","-0.4","-3.9","-0.2",2006
"110","Keyon Dooling","PG","25","ORL","50","1137","12.6","0.513","0.106","0.299","1.2","7.1","4.2","16.7","2.3","0.3","15.2","22.5","0.3","0.8","1.1","0.046","-2.4","-0.3","-2.7","-0.2",2006
"111","Chris Duhon","PG","23","CHI","74","2155","12.9","0.538","0.517","0.266","1.5","10.2","5.9","26.4","1.7","0.1","16.3","15","2.7","2.5","5.2","0.116","0","0.8","0.8","1.5",2006
"112","Tim Duncan*","PF","29","SAS","80","2784","23.1","0.523","0.004","0.45","10.1","26.9","18.7","16.5","1.4","4.2","12.2","27.7","3.9","6.9","10.8","0.187","2.3","2.6","5","4.9",2006
"113","Mike Dunleavy","SF","25","GSW","81","2578","12.5","0.503","0.319","0.309","3.3","14.2","8.6","15","1.2","0.9","11.5","18.1","1.9","2.3","4.2","0.077","-0.7","0","-0.7","0.9",2006
"114","Ronald Dupree","SF","25","MIN","36","265","10.4","0.494","0.016","0.651","9.8","12.4","11.1","8.8","2.4","0","14.7","17","0","0.3","0.3","0.056","-4.1","0.2","-3.8","-0.1",2006
"115","John Edwards","C","24","ATL","40","296","6.4","0.508","0","0.172","7.1","12.5","9.7","2.7","0.5","3.9","14.8","12.4","0.1","0.1","0.2","0.026","-6.2","-0.2","-6.4","-0.3",2006
"116","Howard Eisley","PG","33","TOT","32","394","9.2","0.445","0.408","0.233","0.9","8.7","4.9","25.6","1.4","0.4","15.6","15.4","0","0.3","0.3","0.037","-2.6","-0.2","-2.7","-0.1",2006
"117","Monta Ellis","SG","20","GSW","49","886","11.1","0.486","0.258","0.186","2.7","10.7","6.6","14.9","1.9","0.9","14.4","20.2","-0.3","0.8","0.5","0.028","-1.9","0.2","-1.7","0.1",2006
"118","Francisco Elson","C","29","DEN","72","1579","10.1","0.556","0.018","0.261","7.4","17.6","12.5","4.4","1.7","2.1","17","10.8","0.8","2","2.9","0.087","-3.2","1","-2.2","-0.1",2006
"119","Melvin Ely","PF","27","CHA","57","1348","14.3","0.55","0.005","0.452","7.6","16.8","11.9","9.7","1.1","2.5","16.4","20.1","0.8","1.2","2","0.072","-1.7","-0.2","-1.8","0.1",2006
"120","Maurice Evans","SG","27","DET","80","1139","14","0.545","0.34","0.191","7.8","9.2","8.5","8.5","2","1","9.5","17","1.8","1.4","3.2","0.135","-0.4","0.5","0.2","0.6",2006
"121","Reggie Evans","PF","25","TOT","67","1393","12.5","0.519","0.004","0.81","14.6","28.3","21.4","4","1.5","0.5","19","14.4","0.8","1.3","2.1","0.072","-1.8","-1.9","-3.7","-0.6",2006
"122","Daniel Ewing","SG","22","LAC","66","971","7.6","0.458","0.306","0.18","2.9","7.1","5.1","13.2","2","0.5","17.2","15.8","-0.7","1","0.3","0.017","-3.8","0.6","-3.2","-0.3",2006
"123","Noel Felix","SF","24","SEA","12","82","-1.1","0.316","0.12","0.32","4.4","14.9","9.6","3.5","1.3","2.8","21.9","20","-0.3","0","-0.3","-0.197","-10","-2.5","-12.5","-0.2",2006
"124","Raymond Felton","PG","21","CHA","80","2406","14.2","0.483","0.307","0.251","3.5","9.7","6.4","30.9","2.2","0.3","15.7","21.4","0.8","1.8","2.6","0.051","0.2","-0.8","-0.6","0.8",2006
"125","Michael Finley","SG","32","SAS","77","2038","12.7","0.523","0.401","0.165","1.8","12.2","7.2","9.3","1","0.2","7.7","18.9","2","2.9","5","0.117","0.1","0.2","0.2","1.1",2006
"126","Derek Fisher","PG","31","GSW","82","2589","14.8","0.536","0.333","0.33","1.5","7.7","4.5","22.6","2.5","0.2","13.3","20.2","3.4","2.4","5.8","0.107","-0.2","0.6","0.4","1.6",2006
"127","Gerald Fitch","PG","23","MIA","18","239","10.2","0.424","0.292","0.258","3.6","10.9","7.4","21.5","1.5","1.6","13.1","22","-0.1","0.3","0.1","0.026","-3.2","-0.3","-3.5","-0.1",2006
"128","Marcus Fizer","PF","27","NOK","3","39","14.1","0.559","0.059","0.118","3","18.8","10.7","5.3","0","0","10.1","23.8","0","0","0","0.056","-1.4","-2.3","-3.7","0",2006
"129","Sharrod Ford","PF","24","PHO","3","13","0.6","0.667","0","0","8.7","16.7","12.8","0","0","5.4","40","17.2","0","0","0","-0.032","-16.2","1.2","-14.9","0",2006
